Person:Long|Date0:Long
7696581400215|1349308800000
15393162792296|1347667200000
4871|1350259200000
14293651168588|1346803200000
13194139540889|1346803200000
16492674424331|1350000000000
14293651162247|1348272000000
7696581399031|1346544000000
1099511632939|1346544000000
6597069771888|1345593600000
5497558140258|1344816000000
3298534887876|1345766400000
12094627910668|1344816000000
5497558145173|1344816000000
9895604658073|1344816000000
4398046521094|1344816000000
16492674419683|1347494400000
3298534889610|1350000000000
1099511635486|1349654400000
7696581403065|1345680000000
16492674426593|1345680000000
1099511637140|1346889600000
15393162792159|1346630400000
6770|1346630400000
15393162791388|1348704000000
14293651162995|1346889600000
5497558141875|1346803200000
8121|1346803200000
15393162797573|1346803200000
13194139543458|1346803200000
6597069767698|1345852800000
15393162790834|1345852800000
13194139537570|1345852800000
4398046518386|1345852800000
13194139538048|1349222400000
7696581399217|1346716800000
4398046520472|1350000000000
12094627906777|1345507200000
5497558140278|1345507200000
10995116280766|1345507200000
12094627909476|1345507200000
1099511631983|1350086400000
10995116282489|1345507200000
15393162794518|1345507200000
5497558148180|1345507200000
7696581399699|1346803200000
10995116284945|1348444800000
13194139543869|1347753600000
2199023256100|1346803200000
2199023258331|1349568000000
16492674417918|1348099200000
2199023257714|1345852800000
16492674420275|1345852800000
7915|1345852800000
14293651162014|1345593600000
16492674421291|1346457600000
3298534892281|1346457600000
7696581394770|1345680000000
2199023257507|1345680000000
13194139536153|1345680000000
1099511635402|1345680000000
3298534892883|1346716800000
10995116288413|1345680000000
8796093026826|1346457600000
16492674420875|1349740800000
3298534887801|1345420800000
14293651163842|1347148800000
10995116281391|1347148800000
10995116281396|1347148800000
14293651166464|1347148800000
15393162799824|1347580800000
10995116286810|1349740800000
1099511637716|1345593600000
13194139544077|1345593600000
1099511632143|1344902400000
10995116287952|1344902400000
14293651171696|1344902400000
16492674421108|1345939200000
3298534889259|1345939200000
15393162798286|1346630400000
8796093032653|1346630400000
14293651164587|1346803200000
10995116285377|1351123200000
4398046520452|1346803200000
10995116283949|1346457600000
1099511628410|1347148800000
2199023263798|1345939200000
4423|1345507200000
2199023261956|1345507200000
8796093029176|1345507200000
13194139543559|1345507200000
15393162791937|1344902400000
13194139538421|1344902400000
2323|1345507200000
2199023257885|1349049600000
1099511633370|1345507200000
8796093029539|1345507200000
10995116280367|1346716800000
6597069768803|1344297600000
