Person:Long|Date0:Long
14293651161493|1342656000000
12094627906450|1343001600000
4398046512127|1340150400000
2199023255684|1335139200000
3298534883647|1343088000000
15393162796754|1339804800000
15393162789701|1344556800000
2199023259307|1343952000000
14293651166526|1342656000000
1099511637237|1348012800000
4398046514513|1342137600000
6597069766763|1341100800000
3298534885161|1343001600000
12094627914354|1346457600000
9895604654233|1343865600000
12094627911949|1346630400000
10995116287670|1344124800000
15393162789808|1322697600000
1099511629682|1349740800000
5497558142539|1336608000000
12094627909144|1345075200000
4398046520405|1344297600000
16492674421630|1349395200000
13194139537495|1335916800000
16492674421669|1333324800000
8796093032887|1341360000000
1099511632228|1347062400000
15393162794130|1350259200000
4398046513321|1337904000000
14293651171150|1339459200000
2199023261508|1350864000000
12094627908670|1349395200000
8796093033007|1342828800000
1099511628064|1344902400000
4398046518215|1349481600000
7696581400474|1349568000000
15393162797325|1349481600000
12094627907620|1350000000000
13194139540761|1352073600000
1099511632346|1341273600000
5497558141813|1347580800000
2199023264865|1339459200000
7696581397612|1347235200000
5497558139077|1340755200000
1099511632934|1342828800000
6597069775435|1339804800000
12094627907500|1344211200000
2199023259617|1346630400000
8796093031574|1348012800000
16492674426273|1351900800000
15393162798979|1345334400000
14293651168563|1354060800000
3298534883711|1346112000000
3298534889977|1352505600000
14293651171015|1332547200000
2199023256865|1343952000000
15393162790870|1352246400000
14293651168808|1354060800000
13194139533429|1352851200000
15393162790892|1352764800000
9895604658673|1350864000000
10995116284769|1348617600000
14293651163010|1343433600000
8796093031927|1352937600000
5497558142687|1348272000000
4398046511324|1351900800000
6597069767913|1345075200000
10995116288474|1344384000000
14293651170540|1339027200000
1099511632606|1347926400000
15393162794435|1354060800000
6634|1338768000000
1099511628070|1354060800000
4398046520274|1354060800000
5497558143605|1345420800000
13194139538200|1345939200000
2199023263953|1354060800000
16492674419181|1354060800000
8796093024786|1352764800000
3298534891102|1325030400000
7151|1350345600000
12094627913053|1342224000000
9895604660144|1345939200000
3298534889095|1354060800000
3298534889552|1338768000000
5497558149324|1349568000000
16492674424094|1354060800000
9895604655215|1345507200000
13194139539883|1354060800000
7696581395924|1348444800000
14293651166247|1354060800000
9895604649986|1341878400000
12094627913691|1346630400000
14293651164454|1331337600000
17592186046558|1352419200000
5497558148460|1354060800000
10995116286740|1354060800000
10665|1338768000000
1099511634110|1354060800000
