Person1:Long|Person2:Long
15393162792296|15393162794518
7696581400215|1099511632939
14293651162247|4423
7696581399031|2199023257507
4871|7696581403065
1099511632939|14293651162014
6597069771888|13194139543869
14293651168588|12094627906777
13194139540889|13194139538048
16492674424331|16492674420275
5497558140258|3298534892883
3298534887876|3298534892281
12094627910668|2199023256100
5497558145173|14293651162247
9895604658073|6770
4398046521094|3298534889610
16492674419683|13194139536153
3298534889610|1099511628410
1099511635486|15393162798286
7696581403065|3298534889259
16492674426593|8796093032653
15393162792159|14293651162995
6770|10995116285377
1099511637140|14293651163842
15393162791388|13194139540889
14293651162995|7696581400215
5497558141875|7696581400215
8121|10995116287952
15393162797573|15393162791388
13194139543458|5497558140258
6597069767698|3298534892883
15393162790834|13194139538048
13194139537570|6597069771888
4398046518386|4398046521094
13194139538048|2199023258331
12094627906777|16492674419683
5497558140278|8121
10995116280766|15393162799824
12094627909476|2199023256100
1099511631983|15393162790834
10995116282489|7696581399699
7696581399217|14293651162247
15393162794518|12094627909476
5497558148180|7696581399217
4398046520472|1099511635486
2199023256100|5497558140258
7696581399699|2199023263798
10995116284945|16492674417918
13194139543869|16492674426593
14293651162014|1099511635402
16492674417918|8796093032653
2199023257714|14293651162247
2199023258331|7696581400215
16492674420275|9895604658073
7915|1099511632143
7696581394770|4398046521094
2199023257507|14293651166464
13194139536153|10995116281391
16492674421291|16492674420275
1099511635402|15393162792159
3298534892281|8796093029539
3298534892883|3298534889259
10995116288413|2199023257714
8796093026826|6770
16492674420875|1099511631983
3298534887801|13194139536153
14293651163842|15393162790834
10995116281391|10995116288413
10995116281396|1099511632939
14293651166464|13194139543458
15393162799824|1099511633370
1099511632143|4423
10995116286810|6597069767698
1099511637716|4398046520452
10995116287952|6597069767698
14293651171696|2199023257885
13194139544077|1099511637716
16492674421108|7696581399217
3298534889259|15393162791388
15393162798286|15393162792296
8796093032653|4423
14293651164587|7696581399031
10995116283949|14293651164587
10995116285377|1099511633370
4398046520452|2199023257507
1099511628410|16492674419683
4423|1099511628410
2199023261956|8796093029539
8796093029176|14293651166464
2199023263798|16492674417918
13194139543559|10995116280766
2323|13194139538048
2199023257885|16492674426593
15393162791937|14293651163842
13194139538421|15393162794518
1099511633370|7696581403065
8796093029539|5497558140258
10995116280367|3298534887801
6597069768803|13194139543458
