Person:Long|Date0:Long
9895604660144|1346112000000
13194139537495|1350604800000
8796093030111|1345507200000
15393162796492|1354060800000
1099511629682|1344384000000
8796093031574|1323907200000
3298534885161|1323129600000
4398046514776|1343347200000
15393162798093|1323216000000
5497558139077|1341964800000
5497558143605|1342569600000
9909|1316649600000
9895604649986|1323648000000
15393162792645|1312329600000
15393162790892|1324684800000
4398046511540|1334707200000
7696581395924|1332374400000
6597069776438|1346544000000
2199023264500|1350172800000
14293651171150|1340409600000
2199023257629|1344902400000
4398046512127|1337558400000
15393162798979|1341446400000
13194139539883|1335484800000
8796093022790|1354060800000
9895604655215|1337731200000
12094627913053|1334361600000
1099511632228|1354060800000
5497558142687|1349049600000
13194139534312|1332547200000
12094627910228|1334534400000
2199023258187|1308614400000
16492674426273|1330819200000
2199023255684|1296086400000
6634|1337904000000
9895604654233|1338508800000
6597069775004|1354060800000
12094627907620|1340409600000
16492674417855|1324771200000
16492674426056|1349222400000
10995116288474|1347580800000
12094627906450|1337817600000
4398046520405|1312502400000
16492674416965|1345680000000
1099511628064|1354060800000
14293651166526|1339286400000
13194139538093|1348617600000
6597069766945|1343174400000
3298534885860|1343001600000
10995116283581|1354060800000
16492674416697|1354060800000
1099511632606|1353369600000
1099511630859|1354060800000
15393162794130|1354060800000
2199023264964|1341964800000
14293651163010|1345248000000
1099511632346|1323820800000
4398046516801|1354060800000
7696581401177|1324252800000
14293651166247|1348358400000
15393162791530|1343347200000
2199023259617|1354060800000
4398046518215|1352419200000
17592186046558|1354060800000
15393162791567|1350777600000
14293651164567|1354060800000
6597069767913|1354060800000
8796093032060|1349308800000
15393162799177|1354060800000
7813|1354060800000
2199023260447|1350259200000
6597069772333|1329350400000
9895604650524|1354060800000
12094627916192|1340496000000
1099511638309|1354060800000
16492674426649|1349136000000
7696581395035|1343347200000
1099511630136|1351382400000
4398046512339|1348185600000
15393162789808|1346716800000
5497558142539|1339718400000
5497558139365|1354060800000
14293651171015|1354060800000
4398046514513|1339027200000
10995116277763|1346112000000
16492674419181|1354060800000
2199023259743|1354060800000
14293651162106|1354060800000
4398046513321|1354060800000
14293651166864|1354060800000
13194139540761|1354060800000
14293651164830|1354060800000
7696581401164|1354060800000
14293651164454|1326240000000
14293651161631|1354060800000
6597069775435|1343001600000
3298534889977|1354060800000
10995116286740|1354060800000
1099511634110|1354060800000
